      time,           p [    21.91      1.64         0],           p [    25.57      1.64         0],           p [    29.12      1.62         0],           p [    32.89      1.63         0],           p [    36.54      1.63         0],           p [    40.21      1.63         0]
    0.000000000000000e+00,                    0.000000000000000000e+00,                    0.000000000000000000e+00,                    0.000000000000000000e+00,                    0.000000000000000000e+00,                    0.000000000000000000e+00,                    0.000000000000000000e+00
    1.000000000000000e-03,                    2.320057211295690195e+03,                    2.343562642089849760e+03,                    2.538459801210570276e+03,                    2.441391668874796778e+03,                    2.441736342475483525e+03,                    2.439827871031152426e+03
    3.000000000000000e-03,                    2.338103916147412292e+03,                    2.353317564995013981e+03,                    2.548635125251585578e+03,                    2.451051083693188502e+03,                    2.451204126188228201e+03,                    2.450635802667965436e+03
    7.000000000000000e-03,                    2.338383759673785789e+03,                    2.353377842096514996e+03,                    2.548585036756128375e+03,                    2.451107774841069840e+03,                    2.451237337026122532e+03,                    2.450758073693937604e+03
    1.500000000000000e-02,                    2.338438682356544177e+03,                    2.353383195964393963e+03,                    2.548632130395949844e+03,                    2.451151103564973710e+03,                    2.451272289151670520e+03,                    2.450809625884263824e+03
    3.100000000000000e-02,                    2.338477397877924886e+03,                    2.353432552011216558e+03,                    2.548613583958764139e+03,                    2.451163273235865745e+03,                    2.451266017541598103e+03,                    2.450808907794039897e+03
    6.300000000000000e-02,                    2.338627234799610960e+03,                    2.353427265714901296e+03,                    2.548637797241253793e+03,                    2.451181761051186641e+03,                    2.451280050377327825e+03,                    2.450873734384823820e+03
    1.270000000000000e-01,                    2.338808395867864419e+03,                    2.353518028131493338e+03,                    2.548607053890276347e+03,                    2.451238844140816582e+03,                    2.451256759441070699e+03,                    2.451134674544851350e+03
    1.754788567772385e-01,                    2.366413283295406018e+03,                    2.369593843363753876e+03,                    2.565177401812391963e+03,                    2.467336512708004193e+03,                    2.466953968370707571e+03,                    2.471082934427586679e+03
    2.239577135544769e-01,                    2.356127550270058691e+03,                    2.363618222170688568e+03,                    2.559166720692912804e+03,                    2.461465272522853411e+03,                    2.461083727906182048e+03,                    2.464350785660568363e+03
    2.684659199202697e-01,                    2.358926794565452838e+03,                    2.365884321422442554e+03,                    2.560934013987051912e+03,                    2.463866567497299002e+03,                    2.463135367847782163e+03,                    2.467003789991241774e+03
    3.098150688569610e-01,                    2.358938061779642794e+03,                    2.365635856723472443e+03,                    2.560583633064216428e+03,                    2.463842933743903814e+03,                    2.463053293163583930e+03,                    2.467227007941189640e+03
    3.511642177936523e-01,                    2.356605355489811245e+03,                    2.364059699179292238e+03,                    2.558857499074023508e+03,                    2.462320377901148277e+03,                    2.461719071455077028e+03,                    2.465790469566975844e+03
    4.030584599681003e-01,                    2.349960284189601225e+03,                    2.359876195925986849e+03,                    2.554565433321270575e+03,                    2.457946474350146673e+03,                    2.457659378507831207e+03,                    2.461337479111630728e+03
    4.436575765632382e-01,                    2.367671161902474068e+03,                    2.369186748420037475e+03,                    2.564243135328683820e+03,                    2.467408320025494504e+03,                    2.467420106389939065e+03,                    2.473420134518960822e+03
    4.822603995256977e-01,                    2.361345765684152411e+03,                    2.364751513280432846e+03,                    2.559774751566657415e+03,                    2.462959169914279755e+03,                    2.463241689798979678e+03,                    2.468480240949509607e+03
    5.185189011665123e-01,                    2.362515378836651507e+03,                    2.364687330162867966e+03,                    2.559757361101352217e+03,                    2.462814170212494901e+03,                    2.463667931389192290e+03,                    2.468988429253272443e+03
    5.547774028073270e-01,                    2.361124944467002479e+03,                    2.363033555985348812e+03,                    2.558401935241661704e+03,                    2.461098303624279652e+03,                    2.462309058323752652e+03,                    2.467635838584038538e+03
    5.910263858177438e-01,                    2.361896476532511770e+03,                    2.362931678532634578e+03,                    2.558269869229795404e+03,                    2.460803694564706802e+03,                    2.462536124756259596e+03,                    2.467817346110188282e+03
    6.268628515308584e-01,                    2.363160190722540392e+03,                    2.362837839150711261e+03,                    2.558534665571227833e+03,                    2.460637947862810051e+03,                    2.462772086023324846e+03,                    2.468417241771276167e+03
    6.621119217362423e-01,                    2.364176661367931956e+03,                    2.362981809844240615e+03,                    2.558608574616071564e+03,                    2.460548123982687684e+03,                    2.463080787647046236e+03,                    2.468667056206058078e+03
    6.971873343809224e-01,                    2.364515754610296881e+03,                    2.362524155716737368e+03,                    2.558402170322197890e+03,                    2.460034818408669707e+03,                    2.462921784966778432e+03,                    2.468639950822709125e+03
    7.318529482880610e-01,                    2.365383744588490572e+03,                    2.362748914842026807e+03,                    2.558541033787567812e+03,                    2.460040122489928308e+03,                    2.463191030677813615e+03,                    2.468876084092765268e+03
    7.664974843995311e-01,                    2.365586674869961826e+03,                    2.362434386005210399e+03,                    2.558356597020962454e+03,                    2.459655555588446077e+03,                    2.463061982006099697e+03,                    2.468751662293296704e+03
    8.009221817885084e-01,                    2.366293629702438921e+03,                    2.362702848373911820e+03,                    2.558499361341531767e+03,                    2.459736511527561561e+03,                    2.463268755446705654e+03,                    2.468859433869204167e+03
    8.353313813605149e-01,                    2.366548021800615970e+03,                    2.362615393012338245e+03,                    2.558439351936097864e+03,                    2.459563516507520944e+03,                    2.463249759419254588e+03,                    2.468799490675743982e+03
    8.696566733980857e-01,                    2.366985365110989733e+03,                    2.362848245869234688e+03,                    2.558524649387413319e+03,                    2.459660652343105539e+03,                    2.463361840170073719e+03,                    2.468810562784914509e+03
